level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	595	841	-1	
2	1	1	0	0	0	6	0	584	212	-1	
3	1	1	1	0	0	6	0	584	212	-1	
4	1	1	1	1	0	6	0	584	212	-1	
5	1	1	1	1	1	6	0	584	212	95	 
2	1	2	0	0	0	32	108	527	92	-1	
3	1	2	1	0	0	32	108	527	92	-1	
4	1	2	1	1	0	32	108	527	92	-1	
5	1	2	1	1	1	32	111	178	89	92	JIM
5	1	2	1	1	2	242	108	317	91	95	ROHN
2	1	3	0	0	0	261	273	76	118	-1	
3	1	3	1	0	0	261	273	76	118	-1	
4	1	3	1	1	0	261	273	76	118	-1	
5	1	3	1	1	1	261	273	76	118	72	7
2	1	4	0	0	0	64	368	467	89	-1	
3	1	4	1	0	0	64	368	467	89	-1	
4	1	4	1	1	0	64	368	467	89	-1	
5	1	4	1	1	1	64	368	229	78	91	CHIEN
5	1	4	1	1	2	322	381	209	76	54	LUOC
2	1	5	0	0	0	63	465	469	145	-1	
3	1	5	1	0	0	63	465	469	145	-1	
4	1	5	1	1	0	63	465	469	87	-1	
5	1	5	1	1	1	63	465	202	71	90	THINH
5	1	5	1	1	2	290	472	242	80	70	VUONG
4	1	5	1	2	0	70	550	457	60	-1	
5	1	5	1	2	1	70	550	251	60	54	&'HONN
5	1	5	1	2	2	344	550	183	56	31	BNUE
